State,District,Market,Commodity,Modal_Price,Month,Year
Jharkhand,GARHWA,Garhwa,Rice,2341.34,1,2025
Jharkhand,GARHWA,Garhwa,Rice,2340.73,1,2025
Jharkhand,GARHWA,Garhwa,Rice,2262.05,1,2025
Jharkhand,GARHWA,Garhwa,Rice,2462.09,2,2025
Jharkhand,GARHWA,Garhwa,Rice,2407.02,2,2025
Jharkhand,GARHWA,Garhwa,Rice,2420.85,2,2025
Jharkhand,GARHWA,Garhwa,Rice,2392.6,3,2025
Jharkhand,GARHWA,Garhwa,Rice,2475.73,3,2025
Jharkhand,GARHWA,Garhwa,Rice,2454.34,3,2025
Jharkhand,GARHWA,Garhwa,Rice,2377.49,4,2025
Jharkhand,GARHWA,Garhwa,Rice,2357.54,4,2025
Jharkhand,GARHWA,Garhwa,Rice,2383.47,4,2025
Jharkhand,GARHWA,Garhwa,Rice,2357.3,5,2025
Jharkhand,GARHWA,Garhwa,Rice,2301.47,5,2025
Jharkhand,GARHWA,Garhwa,Rice,2344.19,5,2025
Jharkhand,GARHWA,Garhwa,Rice,2235.51,6,2025
Jharkhand,GARHWA,Garhwa,Rice,2236.83,6,2025
Jharkhand,GARHWA,Garhwa,Rice,2260.99,6,2025
Jharkhand,GARHWA,Garhwa,Rice,2038.3,7,2025
Jharkhand,GARHWA,Garhwa,Rice,2044.56,7,2025
Jharkhand,GARHWA,Garhwa,Rice,2137.74,7,2025
Jharkhand,GARHWA,Garhwa,Rice,2014.57,8,2025
Jharkhand,GARHWA,Garhwa,Rice,2080.47,8,2025
Jharkhand,GARHWA,Garhwa,Rice,2019.67,8,2025
Jharkhand,GARHWA,Garhwa,Rice,2023.28,9,2025
Jharkhand,GARHWA,Garhwa,Rice,1991.59,9,2025
Jharkhand,GARHWA,Garhwa,Rice,1957.52,9,2025
Jharkhand,GARHWA,Garhwa,Rice,1925.37,10,2025
Jharkhand,GARHWA,Garhwa,Rice,1937.08,10,2025
Jharkhand,GARHWA,Garhwa,Rice,1977.82,10,2025
Jharkhand,GARHWA,Garhwa,Rice,2086.06,11,2025
Jharkhand,GARHWA,Garhwa,Rice,2063.76,11,2025
Jharkhand,GARHWA,Garhwa,Rice,2155.02,11,2025
Jharkhand,GARHWA,Garhwa,Rice,2339.05,12,2025
Jharkhand,GARHWA,Garhwa,Rice,2160.25,12,2025
Jharkhand,GARHWA,Garhwa,Rice,2254.28,12,2025
Jharkhand,PALAMU,Daltonganj,Rice,2281.01,1,2025
Jharkhand,PALAMU,Daltonganj,Rice,2368.46,1,2025
Jharkhand,PALAMU,Daltonganj,Rice,2199.94,1,2025
Jharkhand,PALAMU,Daltonganj,Rice,2403.59,2,2025
Jharkhand,PALAMU,Daltonganj,Rice,2374.19,2,2025
Jharkhand,PALAMU,Daltonganj,Rice,2354.3,2,2025
Jharkhand,PALAMU,Daltonganj,Rice,2494.25,3,2025
Jharkhand,PALAMU,Daltonganj,Rice,2383.18,3,2025
Jharkhand,PALAMU,Daltonganj,Rice,2539.12,3,2025
Jharkhand,PALAMU,Daltonganj,Rice,2363.18,4,2025
Jharkhand,PALAMU,Daltonganj,Rice,2369.42,4,2025
Jharkhand,PALAMU,Daltonganj,Rice,2335.68,4,2025
Jharkhand,PALAMU,Daltonganj,Rice,2316.85,5,2025
Jharkhand,PALAMU,Daltonganj,Rice,2305.59,5,2025
Jharkhand,PALAMU,Daltonganj,Rice,2317.46,5,2025
Jharkhand,PALAMU,Daltonganj,Rice,2147.0,6,2025
Jharkhand,PALAMU,Daltonganj,Rice,2249.11,6,2025
Jharkhand,PALAMU,Daltonganj,Rice,2221.99,6,2025
Jharkhand,PALAMU,Daltonganj,Rice,2156.33,7,2025
Jharkhand,PALAMU,Daltonganj,Rice,2111.25,7,2025
Jharkhand,PALAMU,Daltonganj,Rice,2050.26,7,2025
Jharkhand,PALAMU,Daltonganj,Rice,1970.38,8,2025
Jharkhand,PALAMU,Daltonganj,Rice,1942.87,8,2025
Jharkhand,PALAMU,Daltonganj,Rice,1952.67,8,2025
Jharkhand,PALAMU,Daltonganj,Rice,1947.55,9,2025
Jharkhand,PALAMU,Daltonganj,Rice,1993.06,9,2025
Jharkhand,PALAMU,Daltonganj,Rice,1908.74,9,2025
Jharkhand,PALAMU,Daltonganj,Rice,2025.25,10,2025
Jharkhand,PALAMU,Daltonganj,Rice,2031.09,10,2025
Jharkhand,PALAMU,Daltonganj,Rice,2070.58,10,2025
Jharkhand,PALAMU,Daltonganj,Rice,2040.1,11,2025
Jharkhand,PALAMU,Daltonganj,Rice,1987.67,11,2025
Jharkhand,PALAMU,Daltonganj,Rice,2080.12,11,2025
Jharkhand,PALAMU,Daltonganj,Rice,2306.36,12,2025
Jharkhand,PALAMU,Daltonganj,Rice,2224.25,12,2025
Jharkhand,PALAMU,Daltonganj,Rice,2140.52,12,2025
Karnataka,GADAG,Gadag,Rice,2284.77,1,2025
Karnataka,GADAG,Gadag,Rice,2295.09,1,2025
Karnataka,GADAG,Gadag,Rice,2340.81,1,2025
Karnataka,GADAG,Gadag,Rice,2392.12,2,2025
Karnataka,GADAG,Gadag,Rice,2394.84,2,2025
Karnataka,GADAG,Gadag,Rice,2428.34,2,2025
Karnataka,GADAG,Gadag,Rice,2366.48,3,2025
Karnataka,GADAG,Gadag,Rice,2359.93,3,2025
Karnataka,GADAG,Gadag,Rice,2368.19,3,2025
Karnataka,GADAG,Gadag,Rice,2433.21,4,2025
Karnataka,GADAG,Gadag,Rice,2318.92,4,2025
Karnataka,GADAG,Gadag,Rice,2415.04,4,2025
Karnataka,GADAG,Gadag,Rice,2271.69,5,2025
Karnataka,GADAG,Gadag,Rice,2378.13,5,2025
Karnataka,GADAG,Gadag,Rice,2297.77,5,2025
Karnataka,GADAG,Gadag,Rice,2237.28,6,2025
Karnataka,GADAG,Gadag,Rice,2135.4,6,2025
Karnataka,GADAG,Gadag,Rice,2132.3,6,2025
Karnataka,GADAG,Gadag,Rice,2133.84,7,2025
Karnataka,GADAG,Gadag,Rice,2179.24,7,2025
Karnataka,GADAG,Gadag,Rice,2143.66,7,2025
Karnataka,GADAG,Gadag,Rice,2058.52,8,2025
Karnataka,GADAG,Gadag,Rice,2010.69,8,2025
Karnataka,GADAG,Gadag,Rice,2047.78,8,2025
Karnataka,GADAG,Gadag,Rice,2027.91,9,2025
Karnataka,GADAG,Gadag,Rice,2021.01,9,2025
Karnataka,GADAG,Gadag,Rice,1915.62,9,2025
Karnataka,GADAG,Gadag,Rice,1998.98,10,2025
Karnataka,GADAG,Gadag,Rice,2097.07,10,2025
Karnataka,GADAG,Gadag,Rice,2022.43,10,2025
Karnataka,GADAG,Gadag,Rice,2035.92,11,2025
Karnataka,GADAG,Gadag,Rice,2071.22,11,2025
Karnataka,GADAG,Gadag,Rice,2028.41,11,2025
Karnataka,GADAG,Gadag,Rice,2169.43,12,2025
Karnataka,GADAG,Gadag,Rice,2252.0,12,2025
Karnataka,GADAG,Gadag,Rice,2211.97,12,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1926.12,1,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1860.97,1,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1862.14,1,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1936.69,2,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1911.57,2,2025
Jharkhand,PALAMU,Daltonganj,Wheat,2076.62,2,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1923.0,3,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1942.88,3,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1996.05,3,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1925.81,4,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1927.24,4,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1999.98,4,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1857.55,5,2025
Jharkhand,PALAMU,Daltonganj,Wheat,1840.34,5,2025
